match_id,over_id,ball_id,innings_no,team_batting,team_bowling,striker_batting_position,extra_type,runs_scored,extra_runs,wides,legbyes,byes,noballs,penalty,bowler_extras,out_type,caught,bowled,run_out,lbw,retired_hurt,stumped,caught_and_bowled,hit_wicket,obstructingfeild,bowler_wicket,match_date,season,striker,non_striker,bowler,player_out,fielders,striker_match_sk,strikersk,nonstriker_match_sk,nonstriker_sk,fielder_match_sk,fielder_sk,bowler_match_sk,bowler_sk,playerout_match_sk,battingteam_sk,bowlingteam_sk,keeper_catch,player_out_sk,matchdatesk
598063,15,6,2,5,3,5,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,350,null,null,21099,31,21104,254,-1,-1,21117,349,-1,4,2,null,0,null
598063,17,1,2,5,3,6,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,71,null,null,21104,254,21099,31,-1,-1,21114,70,-1,4,2,null,0,null
598063,17,2,2,5,3,6,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,71,null,null,21104,254,21099,31,-1,-1,21114,70,-1,4,2,null,0,null
598063,17,3,2,5,3,5,No Extras,4,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,null,null,21099,31,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,17,4,2,5,3,5,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,null,null,21099,31,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,17,5,2,5,3,5,No Extras,0,0,0,0,0,0,0,0,bowled,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,32,null,21099,31,21104,254,-1,-1,21114,70,21099,4,2,null,0,null
598063,17,6,2,5,3,7,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,104,255,71,null,null,21102,103,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,18,1,2,5,3,6,No Extras,6,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,104,35,null,null,21104,254,21102,103,-1,-1,21113,34,-1,4,2,null,0,null
598063,14,1,2,5,3,6,No Extras,6,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,71,null,null,21104,254,21099,31,-1,-1,21114,70,-1,4,2,null,0,null
598063,14,2,2,5,3,6,No Extras,2,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,71,null,null,21104,254,21099,31,-1,-1,21114,70,-1,4,2,null,0,null
598063,14,3,2,5,3,6,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,71,null,null,21104,254,21099,31,-1,-1,21114,70,-1,4,2,null,0,null
598063,14,4,2,5,3,5,No Extras,6,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,null,null,21099,31,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,14,5,2,5,3,5,No Extras,6,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,null,null,21099,31,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,14,6,2,5,3,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,71,null,null,21099,31,21104,254,-1,-1,21114,70,-1,4,2,null,0,null
598063,13,1,2,5,3,5,No Extras,0,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,391,null,null,21099,31,21104,254,-1,-1,21119,390,-1,4,2,null,0,null
598063,13,2,2,5,3,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,391,null,null,21099,31,21104,254,-1,-1,21119,390,-1,4,2,null,0,null
598063,13,3,2,5,3,6,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,255,32,391,null,null,21104,254,21099,31,-1,-1,21119,390,-1,4,2,null,0,null
598063,13,4,2,5,3,5,No Extras,1,0,0,0,0,0,0,0,Not Applicable,null,null,null,null,null,null,null,null,null,null,null,2013,32,255,391,null,null,21099,31,21104,254,-1,-1,21119,390,-1,4,2,null,0,null
